date_id,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150701,2015,July,27,1
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150702,2015,July,27,2
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150703,2015,July,27,3
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150704,2015,July,27,4
20150705,2015,July,28,5
20150705,2015,July,28,5
20150705,2015,July,28,5
20150705,2015,July,28,5
20150705,2015,July,28,5
20150705,2015,July,28,5
20150705,2015,July,28,5
20150705,2015,July,28,5
20150705,2015,July,28,5
20150705,2015,July,28,5
20150705,2015,July,28,5
20150705,2015,July,28,5
20150705,2015,July,28,5
20150705,2015,July,28,5
20150705,2015,July,28,5
20150705,2015,July,28,5
20150705,2015,July,28,5
20150705,2015,July,28,5
20150705,2015,July,28,5
20150705,2015,July,28,5
20150705,2015,July,28,5
20150705,2015,July,28,5
20150705,2015,July,28,5
20150705,2015,July,28,5
20150705,2015,July,28,5
20150705,2015,July,28,5
20150705,2015,July,28,5
20150705,2015,July,28,5
20150705,2015,July,28,5
20150706,2015,July,28,6
20150706,2015,July,28,6
20150706,2015,July,28,6
20150706,2015,July,28,6
20150706,2015,July,28,6
20150706,2015,July,28,6
20150706,2015,July,28,6
20150706,2015,July,28,6
20150706,2015,July,28,6
20150706,2015,July,28,6
20150706,2015,July,28,6
20150706,2015,July,28,6
20150706,2015,July,28,6
20150706,2015,July,28,6
20150706,2015,July,28,6
20150706,2015,July,28,6
20150706,2015,July,28,6
20150706,2015,July,28,6
20150706,2015,July,28,6
20150706,2015,July,28,6
20150706,2015,July,28,6
20150706,2015,July,28,6
20150706,2015,July,28,6
