agent_id,agent
0,0
304,304
240,240
303,303
15,15
241,241
8,8
250,250
115,115
5,5
175,175
134,134
156,156
243,243
242,242
3,3
105,105
40,40
147,147
306,306
184,184
96,96
2,2
127,127
95,95
146,146
9,9
177,177
6,6
143,143
244,244
149,149
167,167
300,300
171,171
305,305
67,67
196,196
152,152
142,142
261,261
104,104
36,36
26,26
29,29
258,258
110,110
71,71
181,181
88,88
251,251
275,275
69,69
248,248
208,208
256,256
314,314
126,126
281,281
273,273
253,253
185,185
330,330
334,334
328,328
326,326
321,321
324,324
313,313
38,38
155,155
68,68
335,335
308,308
332,332
94,94
348,348
310,310
339,339
375,375
66,66
327,327
387,387
298,298
91,91
245,245
385,385
257,257
393,393
168,168
405,405
249,249
315,315
75,75
128,128
307,307
11,11
436,436
1,1
201,201
183,183
223,223
368,368
336,336
291,291
464,464
411,411
481,481
10,10
154,154
468,468
410,410
390,390
440,440
495,495
492,492
493,493
434,434
57,57
531,531
420,420
483,483
526,526
472,472
429,429
16,16
446,446
34,34
78,78
139,139
252,252
270,270
47,47
114,114
301,301
193,193
182,182
135,135
350,350
195,195
352,352
355,355
159,159
363,363
384,384
360,360
331,331
367,367
64,64
406,406
163,163
414,414
333,333
427,427
431,431
430,430
426,426
438,438
433,433
418,418
441,441
282,282
432,432
72,72
450,450
180,180
454,454
455,455
59,59
451,451
254,254
358,358
469,469
165,165
467,467
510,510
337,337
476,476
502,502
527,527
479,479
508,508
535,535
302,302
497,497
187,187
13,13
7,7
27,27
14,14
22,22
17,17
28,28
42,42
20,20
19,19
45,45
37,37
61,61
39,39
21,21
24,24
41,41
50,50
30,30
54,54
52,52
12,12
44,44
31,31
83,83
32,32
63,63
60,60
55,55
56,56
89,89
87,87
118,118
86,86
85,85
210,210
214,214
129,129
179,179
138,138
174,174
170,170
153,153
93,93
151,151
119,119
35,35
173,173
58,58
53,53
133,133
79,79
235,235
192,192
191,191
236,236
162,162
215,215
157,157
287,287
132,132
234,234
98,98
77,77
103,103
107,107
262,262
220,220
121,121
205,205
378,378
23,23
296,296
290,290
229,229
33,33
286,286
276,276
425,425
484,484
323,323
403,403
219,219
394,394
509,509
111,111
423,423
4,4
70,70
82,82
81,81
74,74
92,92
99,99
90,90
112,112
117,117
106,106
148,148
158,158
144,144
211,211
213,213
216,216
232,232
150,150
267,267
227,227
247,247
278,278
280,280
285,285
289,289
269,269
295,295
265,265
288,288
122,122
294,294
325,325
341,341
344,344
346,346
359,359
283,283
364,364
370,370
371,371
25,25
141,141
391,391
397,397
416,416
404,404
299,299
197,197
73,73
354,354
444,444
408,408
461,461
388,388
453,453
459,459
474,474
475,475
480,480
449,449
